Question,Prompt_1_result,Prompt_2_result,Prompt_3_result,Prompt_4_result,Prompt_5_result,Ground-Truth
"{'id': 2364, 'name': 'How hot does the superhero, the human torch, have to be to evaporate bullets in flight?', 'answer': 3, 'unit': 'degree'}",none,4,1,0,7,3
"{'id': 2147, 'name': 'How many times could you say the alphabet in 24 hours?', 'answer': 4, 'unit': ''}",4,3,4,4,4,4
"{'id': 2126, 'name': 'How many bricks are in the exterior of our school building?', 'answer': 6, 'unit': ''}",none,5.35,none,5,3,6
"{'id': 2530, 'name': 'On average and to be approximate, how much carbon emissions will be averted if 30,000 to 50,000 violent gang members were to be suddenly eliminated?', 'answer': 6, 'unit': 'ton'}",none,5,none,none,4,6
"{'id': 2101, 'name': 'How much volume would 417234 loosely stacked cherries occupy?', 'answer': 6, 'unit': 'cm**3'}",6,6,6,6,5,6
"{'id': 2090, 'name': 'The density of water is just about 1000 kg/m3. The density of air is just about 1000 times less. Estimate the height of the atmosphere. As a simplifying assumption, take the atmosphere to be of uniform density up to some height after which the density rapidly falls to zero.', 'answer': 4, 'unit': 'm'}",4.5,3,3,none,2,4
"{'id': 2209, 'name': 'If all of the people in the United States move to Colorado, what would be the population density, people per square mile, of that state?', 'answer': 5, 'unit': 'person'}",4,3,3,3,3,5
"{'id': 2346, 'name': 'What is the weight of air in your living room?', 'answer': 2, 'unit': 'kg'}",none,1,2,1,1,2
"{'id': 2354, 'name': 'How long would it have taken ENIAC (or another early computer) to mine 1 bitcoin?', 'answer': 8, 'unit': 'min'}",none,none,3,-2,1,8
"{'id': 2373, 'name': 'What is the total area of all currently existing spiderwebs in the world?', 'answer': 18, 'unit': 'm**2'}",none,14,none,7,18,18
"{'id': 2375, 'name': 'What is the weight of a medieval broad sword?', 'answer': 1, 'unit': 'kg'}",none,1,0,0,0,1
"{'id': 2104, 'name': 'How much oil is there left in the world?', 'answer': 14, 'unit': ''}",12,12,1,1,14,14
"{'id': 2115, 'name': 'Suppose a meteor made of nickel and iron falls to the earth from deep space. Estimate how much its temperature would rise on impact ignoring any atmospheric effects.', 'answer': 1, 'unit': 'kelvin'}",5,8,9,11,6,
"{'id': 2550, 'name': 'What is the mass, in kgs, of the moon?', 'answer': 23, 'unit': 'kg'}",1,22,22,22,25,23
"{'id': 2381, 'name': 'How many hairs on your head?', 'answer': 5, 'unit': ''}",5,5,5,6,5,5
"{'id': 2449, 'name': 'At the height of summer, what is the total mass of all the leaves grown on trees in New Hampshire?', 'answer': 13, 'unit': ''}",none,13,3,7,13,13
"{'id': 2295, 'name': 'How dense is the Milky Way galaxy in terms of stars per cubic light year?', 'answer': 7, 'unit': 'ly'}",none,-7,-9,0,-10,7
"{'id': 2407, 'name': 'What is the average distance, m, between pigment particles in a paint film?', 'answer': -4, 'unit': 'm'}",none,-7,-8,-8,-4,-4
"{'id': 2004, 'name': 'What would be the effect to the oceans If all fishing was banned for four days once a year across the planet?', 'answer': 9, 'unit': ''}",none,8,0,0,9,9
"{'id': 2502, 'name': 'How much new wood is grown around the world by trees everyday?', 'answer': 15, 'unit': 'pounds'}",none,9.2,9,9,10,15
